source_path,url_path,coverage,profile_source,exclusion_category,exclusion_reason
sovety/kogda-mozhno-hodit-po-parketu-posle-lakirovki/index.html,/sovety/kogda-mozhno-hodit-po-parketu-posle-lakirovki/,profiled,family:articles,—,—
sovety/kogda-mozhno-myt-parket-posle-lakirovki/index.html,/sovety/kogda-mozhno-myt-parket-posle-lakirovki/,profiled,family:articles,—,—
sovety/kogda-mozhno-stavit-mebel-posle-lakirovki-parketa/index.html,/sovety/kogda-mozhno-stavit-mebel-posle-lakirovki-parketa/,profiled,family:articles,—,—
sovety/kogda-mozhno-stelit-kover-posle-lakirovki-parketa/index.html,/sovety/kogda-mozhno-stelit-kover-posle-lakirovki-parketa/,profiled,family:articles,—,—
sovety/kogda-nuzhen-osmotr-parketa/index.html,/sovety/kogda-nuzhen-osmotr-parketa/,profiled,family:articles,—,—
sovety/lak-ili-maslo-dlya-parketa/index.html,/sovety/lak-ili-maslo-dlya-parketa/,profiled,family:articles,—,—
sovety/lak-na-parkete-otslaivaetsya/index.html,/sovety/lak-na-parkete-otslaivaetsya/,profiled,family:articles,—,—
sovety/lokalnyy-remont-parketnyh-planok/index.html,/sovety/lokalnyy-remont-parketnyh-planok/,profiled,family:articles,—,—
sovety/matovyy-ili-glyancevyy-lak-dlya-parketa/index.html,/sovety/matovyy-ili-glyancevyy-lak-dlya-parketa/,profiled,family:articles,—,—
sovety/mozhno-li-ciklevat-krashenyy-derevyannyy-pol/index.html,/sovety/mozhno-li-ciklevat-krashenyy-derevyannyy-pol/,profiled,family:articles,—,—
sovety/mozhno-li-ciklevat-parketnuyu-dosku/index.html,/sovety/mozhno-li-ciklevat-parketnuyu-dosku/,profiled,family:articles,—,—
sovety/mozhno-li-pokryt-parket-lakom-bez-ciklevki/index.html,/sovety/mozhno-li-pokryt-parket-lakom-bez-ciklevki/,profiled,family:articles,—,—
sovety/mozhno-li-vosstanovit-staryy-parket/index.html,/sovety/mozhno-li-vosstanovit-staryy-parket/,profiled,family:articles,—,—
sovety/mozhno-li-zhit-v-kvartire-vo-vremya-ciklevki-parketa/index.html,/sovety/mozhno-li-zhit-v-kvartire-vo-vremya-ciklevki-parketa/,profiled,family:articles,—,—
sovety/nuzhna-li-mezhsloynaya-shlifovka-laka-na-parkete/index.html,/sovety/nuzhna-li-mezhsloynaya-shlifovka-laka-na-parkete/,profiled,family:articles,—,—
sovety/nuzhno-li-gruntovat-parket-pered-lakom/index.html,/sovety/nuzhno-li-gruntovat-parket-pered-lakom/,profiled,family:articles,—,—
sovety/nuzhno-li-snimat-plintusy-pered-ciklevkoy-parketa/index.html,/sovety/nuzhno-li-snimat-plintusy-pered-ciklevkoy-parketa/,profiled,family:articles,—,—
sovety/ot-chego-zavisit-stoimost-ciklevki-parketa/index.html,/sovety/ot-chego-zavisit-stoimost-ciklevki-parketa/,profiled,family:articles,—,—
sovety/parket-doska-ili-laminat-kak-ponyat/index.html,/sovety/parket-doska-ili-laminat-kak-ponyat/,profiled,family:articles,—,—
sovety/parket-otoshel-ot-osnovaniya/index.html,/sovety/parket-otoshel-ot-osnovaniya/,profiled,family:articles,—,—
sovety/parket-posle-vody/index.html,/sovety/parket-posle-vody/,profiled,family:articles,—,—
sovety/parket-potemnel-posle-laka/index.html,/sovety/parket-potemnel-posle-laka/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-beleet-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-beleet-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-lipnet-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-lipnet-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-puzyritsya-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-puzyritsya-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-pyatnami-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-pyatnami-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-shelushitsya-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-shelushitsya-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-shershavyy-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-shershavyy-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-lak-na-parkete-treskaetsya-posle-lakirovki/index.html,/sovety/pochemu-lak-na-parkete-treskaetsya-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-parket-stal-skolzkim-posle-lakirovki/index.html,/sovety/pochemu-parket-stal-skolzkim-posle-lakirovki/,profiled,family:articles,—,—
sovety/pochemu-skripit-parket/index.html,/sovety/pochemu-skripit-parket/,profiled,family:articles,—,—
sovety/polosy-ot-valika-na-parkete-posle-lakirovki/index.html,/sovety/polosy-ot-valika-na-parkete-posle-lakirovki/,profiled,family:articles,—,—
sovety/pyl-i-zapah-pri-ciklevke-parketa/index.html,/sovety/pyl-i-zapah-pri-ciklevke-parketa/,profiled,family:articles,—,—
sovety/pyl-pod-lakom-na-parkete-posle-lakirovki/index.html,/sovety/pyl-pod-lakom-na-parkete-posle-lakirovki/,profiled,family:articles,—,—
sovety/rassohsya-parket-chto-delat/index.html,/sovety/rassohsya-parket-chto-delat/,profiled,family:articles,—,—
sovety/raznyy-blesk-laka-na-parkete-posle-lakirovki/index.html,/sovety/raznyy-blesk-laka-na-parkete-posle-lakirovki/,profiled,family:articles,—,—
sovety/shcheli-posle-ciklevki-parketa/index.html,/sovety/shcheli-posle-ciklevki-parketa/,profiled,family:articles,—,—
sovety/shcheli-v-parkete/index.html,/sovety/shcheli-v-parkete/,profiled,family:articles,—,—
sovety/skolko-derzhitsya-zapah-laka-na-parkete/index.html,/sovety/skolko-derzhitsya-zapah-laka-na-parkete/,profiled,family:articles,—,—
sovety/skolko-dlitsya-ciklevka-parketa/index.html,/sovety/skolko-dlitsya-ciklevka-parketa/,profiled,family:articles,—,—
sovety/skolko-raz-mozhno-ciklevat-parket/index.html,/sovety/skolko-raz-mozhno-ciklevat-parket/,profiled,family:articles,—,—
sovety/skolko-sloev-laka-nanosit-na-parket/index.html,/sovety/skolko-sloev-laka-nanosit-na-parket/,profiled,family:articles,—,—
sovety/skolko-sohnet-lak-na-parkete/index.html,/sovety/skolko-sohnet-lak-na-parkete/,profiled,family:articles,—,—
sovety/skoly-na-parkete-chto-delat/index.html,/sovety/skoly-na-parkete-chto-delat/,profiled,family:articles,—,—
sovety/skripit-parket-posle-ciklevki/index.html,/sovety/skripit-parket-posle-ciklevki/,profiled,family:articles,—,—
sovety/sledy-ot-zhivotnyh-na-parkete/index.html,/sovety/sledy-ot-zhivotnyh-na-parkete/,profiled,family:articles,—,—
sovety/staryy-lak-na-parkete/index.html,/sovety/staryy-lak-na-parkete/,profiled,family:articles,—,—
sovety/temnye-pyatna-na-parkete/index.html,/sovety/temnye-pyatna-na-parkete/,profiled,family:articles,—,—
sovety/tonirovka-parketa-posle-ciklevki/index.html,/sovety/tonirovka-parketa-posle-ciklevki/,profiled,family:articles,—,—
sovety/uhod-za-parketom-posle-ciklevki/index.html,/sovety/uhod-za-parketom-posle-ciklevki/,profiled,family:articles,—,—
sovety/vmyatiny-na-parkete-chto-delat/index.html,/sovety/vmyatiny-na-parkete-chto-delat/,profiled,family:articles,—,—
sovety/vzdulsya-parket-chto-delat/index.html,/sovety/vzdulsya-parket-chto-delat/,profiled,family:articles,—,—
uslugi/ciklevka-parketa/index.html,/uslugi/ciklevka-parketa/,profiled,explicit,—,—
uslugi/demontazh/index.html,/uslugi/demontazh/,profiled,family:adjacent-services,—,—
uslugi/elektrika/index.html,/uslugi/elektrika/,profiled,family:adjacent-services,—,—
uslugi/index.html,/uslugi/,profiled,explicit,—,—
uslugi/master-na-chas/index.html,/uslugi/master-na-chas/,excluded,—,redirect,Legacy noindex-переходник ведёт на канонический адрес /uslugi/muzh-na-chas/ и не должен выглядеть как самостоятельная услуга.
uslugi/melkiy-remont/index.html,/uslugi/melkiy-remont/,profiled,family:adjacent-services,—,—
uslugi/muzh-na-chas/index.html,/uslugi/muzh-na-chas/,profiled,family:adjacent-services,—,—
uslugi/otdelka/index.html,/uslugi/otdelka/,profiled,family:adjacent-services,—,—
uslugi/parket-i-poly/index.html,/uslugi/parket-i-poly/,profiled,explicit,—,—
uslugi/pereezdy/index.html,/uslugi/pereezdy/,profiled,family:adjacent-services,—,—
uslugi/pokrytie-lakom-i-maslom/index.html,/uslugi/pokrytie-lakom-i-maslom/,profiled,explicit,—,—
uslugi/restavraciya-parketa/index.html,/uslugi/restavraciya-parketa/,profiled,explicit,—,—
uslugi/santehnika/index.html,/uslugi/santehnika/,profiled,family:adjacent-services,—,—
uslugi/sborka-mebeli/index.html,/uslugi/sborka-mebeli/,profiled,family:adjacent-services,—,—
uslugi/shlifovka-doshchatogo-pola/index.html,/uslugi/shlifovka-doshchatogo-pola/,profiled,explicit,—,—
uslugi/terrasy-i-derevyannye-poly/index.html,/uslugi/terrasy-i-derevyannye-poly/,profiled,explicit,—,—
uslugi/ukladka-laminata/index.html,/uslugi/ukladka-laminata/,profiled,explicit,—,—
uslugi/ukladka-parketa/index.html,/uslugi/ukladka-parketa/,profiled,explicit,—,—
uslugi/vyvoz-musora/index.html,/uslugi/vyvoz-musora/,profiled,family:adjacent-services,—,—
voprosy-i-otvety/index.html,/voprosy-i-otvety/,profiled,explicit,—,—
zayavka/index.html,/zayavka/,profiled,explicit,—,—
